# Substrate / film lattice constants for peak indexing (compute_U_from_substrate)
# Format:  Formula  a  b  c  alpha  beta  gamma
#   a, b, c in Angstrom; alpha, beta, gamma in degrees.
#   Separators may be whitespace, commas, or '=' (see load_lattice docstring).
#   '#' starts a comment.

LaAlO3   3.790 3.790 3.790 90 90 90 #Pseudocubic
SrTiO3   3.905 3.905 3.905 90 90 90
LSAT     3.868 3.868 3.868 90 90 90 
NdGaO3   3.864 3.864 3.864 90 90 90 #Pseudocubic
DyScO3   3.944 3.944 3.944 90 90 90
TbScO3   3.960 3.960 3.960 90 90 90
SrTa2S5  3.306 3.306 24.276 90 90 120
Al2O3    4.759 4.759 12.991 90 90 120
MgO      4.212 4.212 4.212 90 90 90
MgAl2O4  8.083 8.083 8.083 90 90 90
TiO2     4.5936 4.5936 2.9587 90 90 90	#Rutile
